frontend-dapr-1  | time="2025-08-22T14:20:29.467746176Z" level=info msg="application discovered on port 3001" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.490469593Z" level=info msg="app is subscribed to the following topics: [cart-updates] through pubsub=pubsub" app_id=frontend instance=ed6effe342dc scope=dapr.runtime.processor.pubsub type=log ver=1.12.0
frontend-dapr-1  | time="2025-08-22T14:20:29.490867176Z" level=info msg="dapr initialized. Status: Running. Init Elapsed 35ms" app_id=frontend instance=ed6effe342dc scope=dapr.runtime type=log ver=1.12.0
products-1       | INFO:     Started server process [1]
products-1       | INFO:     Waiting for application startup.
products-1       | INFO:     Application startup complete.
products-1       | INFO:     Uvicorn running on http://0.0.0.0:5001 (Press CTRL+C to quit)
products-1       | INFO:     172.27.0.5:46690 - "GET /dapr/config HTTP/1.1" 404 Not Found
products-1       | INFO:     172.27.0.5:37004 - "GET /products HTTP/1.1" 200 OK
redis-1          | 1:C 24 Aug 2025 14:20:29.047 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
redis-1          | 1:C 24 Aug 2025 14:20:29.047 * Redis version=7.4.5, bits=64, commit=00000000, modified=0, pid=1, just started
redis-1          | 1:C 24 Aug 2025 14:20:29.047 # Warning: no config file specified, using the default config. In order to specify a config file use redis-server /path/to/redis.conf
redis-1          | 1:M 24 Aug 2025 14:20:29.047 * monotonic clock: POSIX clock_gettime
redis-1          | 1:M 24 Aug 2025 14:20:29.048 * Running mode=standalone, port=6379.
redis-1          | 1:M 24 Aug 2025 14:20:29.048 * Server initialized
redis-1          | 1:M 24 Aug 2025 14:20:29.048 * Ready to accept connections tcp
frontend-1       | Frontend server running on port 3001
frontend-1       | SSE endpoint available at /api/cart-updates
frontend-1       | Getting current order...
frontend-1       | Getting products...
frontend-1       | Dapr response status: 200
frontend-1       | Dapr response status: 200
frontend-1       | Adding item to current order...
frontend-1       | Received cart update event: {
frontend-1       |   event_type: 'cart_updated',
frontend-1       |   order: { id: 1, items: [ [Object] ] },
frontend-1       |   order_id: 1,
frontend-1       |   timestamp: 'simplified'
frontend-1       | }
frontend-1       | Dispatching the event data to SSE connection
frontend-1       | Dispatching the event data to SSE connection
frontend-1       | Dapr response status: 200
frontend-1       | Adding item to current order...
frontend-1       | Received cart update event: {
frontend-1       |   event_type: 'cart_updated',
frontend-1       |   order: { id: 1, items: [ [Object] ] },
frontend-1       |   order_id: 1,
frontend-1       |   timestamp: 'simplified'
frontend-1       | }
frontend-1       | Dispatching the event data to SSE connection
frontend-1       | Dispatching the event data to SSE connection
frontend-1       | Dapr response status: 200
frontend-1       | Adding item to current order...
frontend-1       | Received cart update event: {
frontend-1       |   event_type: 'cart_updated',
frontend-1       |   order: { id: 1, items: [ [Object] ] },
frontend-1       |   order_id: 1,
frontend-1       |   timestamp: 'simplified'
frontend-1       | }
frontend-1       | Dispatching the event data to SSE connection
frontend-1       | Dispatching the event data to SSE connection
frontend-1       | Dapr response status: 200
products-dapr-1  | time="2025-08-22T14:20:29.420062385Z" level=info msg="Starting Dapr Runtime -- version 1.12.0 -- commit 2149fca96cdf11627c387bda26dcc027d1c47354" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.420076176Z" level=info msg="Log level set to: info" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.42064051Z" level=warning msg="mTLS is disabled. Skipping certificate request and tls validation" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime.security type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.42108126Z" level=info msg="loading default configuration" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.424423551Z" level=info msg="metrics server started on :9090/" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.424691301Z" level=info msg="standalone mode configured" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.424705593Z" level=info msg="app id: products" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.424749343Z" level=info msg="Dapr trace sampler initialized: DaprTraceSampler(P=0.000100)" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.424951343Z" level=info msg="local service entry announced: products -> 172.27.0.5:48930" app_id=products component="mdns (nameResolution/v1)" instance=bb5a5e9d8a4d scope=dapr.contrib type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.424960635Z" level=info msg="Initialized name resolution to mdns" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.425012135Z" level=info msg="Loading components…" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
products-dapr-1  | time="2025-08-22T14:20:29.428031551Z" level=info msg="Waiting for all outstanding components to be processed…" app_id=products instance=bb5a5e9d8a4d scope=dapr.runtime type=log ver=1.12.0
